variable_name	status	valores	n_nas
p7_12_4	no_modificada	(1, 2, 3)	0
p7_12_5	no_modificada	(1, 2, 3)	0
p7_12_6	no_modificada	(1, 2, 3)	0
p8_1_1	no_modificada	(1, 2, 3, 4)	0
p8_1_2	no_modificada	(1, 2, 3, 4)	0
p8_1_3	no_modificada	(1, 2, 3, 4)	0
p8_1_4	no_modificada	(1, 2, 3, 4)	0
p8_1_5	no_modificada	(1, 2, 3, 4)	0
p8_1_6	no_modificada	(1, 2, 3, 4)	0
p8_2_1	modificada	(0, 1)	0
p8_2_2	modificada	(0, 1)	0
p8_2_3	modificada	(0, 1)	0
p8_2_4	modificada	(0, 1)	0
p8_3_01	modificada	(0, 1)	0
p8_3_02	modificada	(0, 1)	0
p8_3_03	modificada	(0, 1)	0
p8_3_04	modificada	(0, 1)	0
p8_3_05	modificada	(0, 1)	0
p8_3_06	modificada	(0, 1)	0
p8_3_07	modificada	(0, 1)	0
p8_3_08	modificada	(0, 1)	0
p8_3_09	modificada	(0, 1)	0
p8_3_10	modificada	(0, 1)	0
p8_4	no_modificada	min=0, max=10, únicos=11	0
p8_5_1	no_modificada	(0.0, 1.0)	3876
p8_5_2	no_modificada	(0.0, 1.0)	3876
p8_5_3	no_modificada	(0.0, 1.0)	3876
p8_5_4	no_modificada	(0.0, 1.0)	3876
p8_5_5	no_modificada	(0.0, 1.0)	3876
p8_5_6	no_modificada	(0.0, 1.0)	3876
p8_5_7	no_modificada	(0.0, 1.0)	3876
p8_5_8	no_modificada	(0.0, 1.0)	3876
p8_5_9	no_modificada	(0.0, 1.0)	3876
p8_6_01	no_modificada	(0.0, 1.0)	6444
p8_6_02	no_modificada	(0.0, 1.0)	6444
p8_6_03	no_modificada	(0.0, 1.0)	6444
p8_6_04	no_modificada	(0.0, 1.0)	6444
p8_6_05	no_modificada	(0.0, 1.0)	6444
p8_6_06	no_modificada	(0.0, 1.0)	6444
p8_6_07	no_modificada	(0.0, 1.0)	6444
p8_6_08	no_modificada	(0.0, 1.0)	6444
p8_6_09	no_modificada	(0.0, 1.0)	6444
p8_6_10	no_modificada	(0.0, 1.0)	6444
p8_6_11	no_modificada	(0.0, 1.0)	6444
p9_1	no_modificada	min=1, max=10, únicos=10	0
p9_2	no_modificada	min=1.0, max=7.0, únicos=7	2632
p9_3_1	modificada	(0, 1)	0
p9_3_2	modificada	(0, 1)	0
p9_3_3	modificada	(0, 1)	0
p9_3_4	modificada	(0, 1)	0
p9_3_5	modificada	(0, 1)	0
p9_3_6	modificada	(0, 1)	0
p9_3_7	modificada	(0, 1)	0
p10_1	modificada	(0, 1)	0
p10_2	no_modificada	(1.0, 2.0, 9.0)	14982
p10_3	modificada	(0.0, 1.0)	14982
p10_4_1	modificada	(0, 1)	0
p10_4_2	modificada	(0, 1)	0
p10_4_3	modificada	(0, 1)	0
p10_4_4	modificada	(0, 1)	0
p10_4_5	modificada	(0, 1)	0
p10_4_6	modificada	(0, 1)	0
niv_bienes	no_modificada	(1, 2, 3, 4)	0
ingreso_m	no_modificada	min=0.0, max=421400.0, únicos=505	6744
niv_estres	no_modificada	(1, 2, 3)	0
salario_ent	modificada	(0, 1)	0
sal_min_rp	no_modificada	(1.0, 2.0, 3.0, 4.0, 5.0)	7712
sal_min_zf	no_modificada	(1.0, 2.0, 3.0, 4.0, 5.0)	19480
conf_finan	modificada	(0, 1)	0
gra_control	modificada	(0, 1)	0
orien_fut	modificada	(0, 1)	0
impulsivid	modificada	(0, 1)	0
orien_acci	modificada	(0, 1)	0
optimismo	modificada	(0, 1)	0
gtos_ahorr	modificada	(0, 1)	0
depen_sum	no_modificada	min=0, max=15, únicos=14	0
dep_eco	no_modificada	(1, 2, 3)	0
fac_ele	no_modificada	min=126, max=364007, únicos=5890	0
