variable	tipo	n_valores_unicos	min	max
p4_6_2_nan	int64	2	0.0	1.0
p4_6_3_2.0	int64	2	0.0	1.0
p4_6_3_9.0	int64	2	0.0	1.0
p4_6_3_nan	int64	2	0.0	1.0
p4_6_4_2.0	int64	2	0.0	1.0
p4_6_4_9.0	int64	2	0.0	1.0
p4_6_4_nan	int64	2	0.0	1.0
p4_6_5_2.0	int64	2	0.0	1.0
p4_6_5_9.0	int64	2	0.0	1.0
p4_6_5_nan	int64	2	0.0	1.0
p4_7_1_2.0	int64	2	0.0	1.0
p4_7_1_9.0	int64	2	0.0	1.0
p4_7_1_nan	int64	2	0.0	1.0
p4_8_1_2.0	int64	2	0.0	1.0
p4_8_1_9.0	int64	2	0.0	1.0
p4_8_1_nan	int64	2	0.0	1.0
p4_7_2_2.0	int64	2	0.0	1.0
p4_7_2_9.0	int64	2	0.0	1.0
p4_7_2_nan	int64	2	0.0	1.0
p4_8_2_2.0	int64	2	0.0	1.0
p4_8_2_9.0	int64	2	0.0	1.0
p4_8_2_nan	int64	2	0.0	1.0
p4_7_3_2.0	int64	2	0.0	1.0
p4_7_3_9.0	int64	2	0.0	1.0
p4_7_3_nan	int64	2	0.0	1.0
p4_8_3_2.0	int64	2	0.0	1.0
p4_8_3_9.0	int64	2	0.0	1.0
p4_8_3_nan	int64	2	0.0	1.0
p4_7_4_2.0	int64	2	0.0	1.0
p4_7_4_9.0	int64	2	0.0	1.0
p4_7_4_nan	int64	2	0.0	1.0
p4_8_4_2.0	int64	2	0.0	1.0
p4_8_4_9.0	int64	2	0.0	1.0
p4_8_4_nan	int64	2	0.0	1.0
p4_9_1_2.0	int64	2	0.0	1.0
p4_9_1_3.0	int64	2	0.0	1.0
p4_9_1_4.0	int64	2	0.0	1.0
p4_9_1_5.0	int64	2	0.0	1.0
p4_9_1_6.0	int64	2	0.0	1.0
p4_9_1_nan	int64	2	0.0	1.0
p4_9_2_2.0	int64	2	0.0	1.0
p4_9_2_3.0	int64	2	0.0	1.0
